 Code | Word | Frequency 
1:   34034
1311: plane 3
1312: including 3
1313: nervous 3
1314: pages 3
1315: wait 3
1316: wharves 3
1317: wine 3
1318: BREAKFAST 3
1319: Thinks 3
1320: demanded 3
1321: prejudices 3
1322: arrive 3
1323: shades 3
1324: lee 3
1325: chance 3
1326: STREET 3
1327: big 3
1328: tribe 3
1329: bolt 3
1330: dint 3
1331: met 3
1332: repeated 3
1333: higher 3
1334: narrow 3
1335: chair 3
1336: Ah 3
1337: dandy 3
1338: offer 3
1339: reputation 3
1340: reading 3
1341: therefore 3
1342: smell 3
1343: beat 3
1344: America 3
1345: comical 3
1346: sailed 3
1347: special 3
1348: Bible 3
1349: past 3
1350: pleased 3
1351: often 3
1352: holy 3
1353: Besides 3
1354: drag 3
1355: obey 3
1356: watching 3
1357: fishery 3
1358: staring 3
1359: seek 3
1360: works 3
1361: Death 3
1362: carpet 3
1363: signs 3
1364: stuffed 3
1365: character 3
1366: creature 3
1367: hundred 3
1368: dog 3
1369: Saturday 3
1370: Sag 3
1371: Harbour 3
1372: already 3
1373: prayer 3
1374: VII 3
1375: shoes 3
1376: kneeling 3
1377: sadly 3
1378: entire 3
1379: monsters 3
1380: closed 3
1381: offered 3
1382: dismal 3
1383: pocket 3
1384: venture 3
1385: dread 3
1386: pieces 3
1387: 6 3
1388: names 3
1389: wears 3
1390: act 3
1391: wrapped 3
1392: ribs 3
1393: earthly 3
1394: leviathan 3
1395: awful 3
1396: straps 3
1397: respect 3
1398: partly 3
1399: boy 3
1400: toilet 3
1401: ward 3
1402: rose 3
1403: troubled 3
1404: countenance 3
1405: authority 3
1406: bowsprit 3
1407: awake 3
1408: considering 3
1409: history 3
1410: nameless 3
1411: dogs 3
1412: youth 3
1413: sounds 3
1414: wrinkles 3
1415: proper 3
1416: scarce 3
1417: laugh 3
1418: everlasting 3
1419: care 3
1420: forecastle 3
1421: utmost 3
1422: adventurous 3
1423: swimming 3
1424: salt 3
1425: led 3
1426: worn 3
1427: nor 3
1428: Voyages 3
1429: Green 3
1430: mildly 3
1431: ceremony 3
1432: grew 3
1433: twelve 3
1434: broiled 3
1435: Thomas 3
1436: coolly 3
1437: frequently 3
1438: Rokovoko 3
1439: officer 3
1440: confess 3
1441: sporting 3
1442: sallied 3
1443: shut 3
1444: WHALES 3
1445: attend 3
1446: particularly 3
1447: means 3
1448: taste 3
1449: six 3
1450: flood 3
1451: afford 3
1452: inferred 3
1453: Ibid 3
1454: lungs 3
1455: headed 3
1456: conscious 3
1457: begin 3
1458: trowsers 3
1459: master 3
1460: forty 3
1461: floated 3
1462: brought 3
1463: phantom 3
1464: behold 3
1465: jump 3
1466: using 3
1467: swallowed 3
1468: general 3
1469: beings 3
1470: enter 3
1471: begins 3
1472: spar 3
1473: Ha 3
1474: harpooneers 3
1475: stairs 3
1476: piece 3
1477: hint 3
1478: begged 3
1479: sixty 3
1480: Seeing 3
1481: sense 3
1482: baby 3
1483: steel 3
1484: instead 3
1485: worthy 3
1486: sleet 3
1487: tbe 3
1488: repentance 3
1489: concluding 3
1490: miserable 3
1491: directions 3
1492: real 3
1493: spent 3
1494: sinful 3
1495: crews 3
1496: teaches 3
1497: embalmed 3
1498: tiller 3
1499: clouds 3
1500: artist 3
1501: Soon 3
1502: Dictionary 3
1503: previously 3
1504: grego 3
1505: sudden 3
1506: angel 3
1507: schooner 3
1508: Pots 3
1509: Sea 3
1510: Try 3
1511: consideration 3
1512: decks 3
1513: refuse 3
1514: beast 3
1515: London 3
1516: seeks 3
1517: pots 3
1518: grief 3
1519: breast 3
1520: flee 3
1521: brain 3
1522: blood 3
1523: follow 3
1524: ill 3
1525: chaplain 3
1526: accounts 3
1527: Because 3
1528: hinted 3
1529: drawing 3
1530: thick 3
1531: polite 3
1532: Quakers 3
1533: stopping 3
1534: hollow 3
1535: Chapel 3
1536: praying 3
1537: marble 3
1538: gallows 3
1539: proved 3
1540: i 3
1541: polished 3
1542: lowly 3
1543: shone 3
1544: chat 3
1545: deliverance 3
1546: dived 3
1547: public 3
1548: free 3
1549: fishermen 3
1550: Sperma 3
1551: scores 3
1552: element 3
1553: requires 3
1554: figure 3
1555: Spermacetti 3
1556: question 3
1557: steps 3
1558: shade 3
1559: born 3
1560: finds 3
1561: opening 3
1562: wife 3
1563: doom 3
1564: modern 3
1565: kitchen 3
1566: Tit 3
1567: purple 3
1568: Dam 3
1569: settled 3
1570: Devil 3
1571: gloom 3
1572: explain 3
1573: language 3
1574: idolater 3
1575: remember 3
1576: assure 3
1577: naturally 3
1578: scolding 3
1579: scattered 3
1580: Webster 3
1581: arched 3
1582: \ 3
1583: learned 3
1584: canoe 3
1585: hunks 3
1586: paying 3
1587: wise 3
1588: complied 3
1589: Her 3
1590: equal 3
1591: congregation 3
1592: aboard 3
1593: penny 3
1594: visit 3
1595: gold 3
1596: meant 3
1597: performances 2
1598: widows 2
1599: whaler 2
1600: reached 2
1601: unnatural 2
1602: weeds 2
1603: instance 2
1604: brief 2
1605: benediction 2
1606: dusting 2
1607: thickets 2
1608: map 2
1609: attempt 2
1610: combat 2
1611: smelt 2
1612: remained 2
1613: Christendom 2
1614: elements 2
1615: sive 2
1616: Fates 2
1617: travelled 2
1618: physical 2
1619: universal 2
1620: cheerfully 2
1621: blades 2
1622: tufted 2
1623: central 2
1624: knots 2
1625: dusky 2
1626: believe 2
1627: proud 2
1628: earnestly 2
1629: handle 2
1630: shells 2
1631: contrary 2
1632: sweeping 2
1633: ETYMOLOGY 2
1634: difference 2
1635: flung 2
1636: sunset 2
1637: deformed 2
1638: gazed 2
1639: spurned 2
1640: SUPPLIED 2
1641: wondered 2
1642: uncomfortable 2
1643: excellent 2
1644: KNIGHTS 2
1645: slave 2
1646: SQUIRES 2
1647: wherefore 2
1648: suspect 2
1649: leaders 2
1650: chiefly 2
1651: dusty 2
1652: billows 2
1653: captains 2
1654: gives 2
1655: cases 2
1656: rude 2
1657: base 2
1658: thump 2
1659: opposite 2
1660: pale 2
1661: heathenish 2
1662: array 2
1663: pure 2
1664: furiously 2
1665: untutored 2
1666: thickly 2
1667: glittering 2
1668: rocked 2
1669: sensible 2
1670: bleak 2
1671: invited 2
1672: Harpoons 2
1673: windows 2
1674: gable 2
1675: coffee 2
1676: Sword 2
1677: Fish 2
1678: inquire 2
1679: paper 2
1680: vent 2
1681: stay 2
1682: packed 2
1683: carted 2
1684: everywhere 2
1685: originally 2
1686: inches 2
1687: twenty 2
1688: anxious 2
1689: pillow 2
1690: curbstone 2
1691: wherever 2
1692: dreary 2
1693: advances 2
1694: circle 2
1695: finished 2
1696: connection 2
1697: pity 2
1698: woman 2
1699: lonely 2
1700: wisdom 2
1701: conclude 2
1702: Paul 2
1703: Presbyterian 2
1704: waist 2
1705: bosom 2
1706: proposed 2
1707: blocks 2
1708: Tophet 2
1709: dramatic 2
1710: Black 2
1711: tomb 2
1712: deserted 2
1713: church 2
1714: picked 2
1715: pressed 2
1716: Trap 2
1717: Gomorrah 2
1718: entering 2
1719: puffs 2
1720: porch 2
1721: friend 2
1722: lar 2
1723: ominous 2
1724: XXXIX 2
1725: sect 2
1726: weary 2
1727: ously 2
1728: FIRST 2
1729: creaking 2
1730: cheerless 2
1731: plight 2
1732: docks 2
1733: tinkling 2
1734: backing 2
1735: modified 2
1736: weep 2
1737: friendship 2
1738: conclusion 2
1739: inducements 2
1740: drive 2
1741: lines 2
1742: bidden 2
1743: portentous 2
1744: confounded 2
1745: PICTURES 2
1746: delightfully 2
1747: helped 2
1748: friendly 2
1749: terms 2
1750: earnest 2
1751: disagreeable 2
1752: swung 2
1753: ambitious 2
1754: shadows 2
1755: Ever 2
1756: midnight 2
1757: tester 2
1758: shabby 2
1759: tragedies 2
1760: alas 2
1761: motives 2
1762: elastic 2
1763: peering 2
1764: endless 2
1765: except 2
1766: judgment 2
1767: Chief 2
1768: fairly 2
1769: snugness 2
1770: unimaginable 2
1771: counting 2
1772: adven 2
1773: future 2
1774: brows 2
1775: doing 2
1776: boisterous 2
1777: canoes 2
1778: ally 2
1779: lengthwise 2
1780: holding 2
1781: Monday 2
1782: heeded 2
1783: disclosures 2
1784: northern 2
1785: transom 2
1786: frosty 2
1787: pooh 2
1788: uncommon 2
1789: Washington 2
1790: dare 2
1791: series 2
1792: bodily 2
1793: study 2
1794: pans 2
1795: morbidness 2
1796: tucked 2
1797: started 2
1798: skeleton 2
1799: knees 2
1800: society 2
1801: regularly 2
1802: December 2
1803: Czar 2
1804: packet 2
